"","species","zone","year","sampled","monitoring"
"57","arctic fox","4x2km plot",2019,"no","systematic"
"58","arctic fox","4x2km plot",2021,"no","systematic"
"59","arctic fox","4x2km plot",2022,"no","systematic"
"60","arctic fox","4x2km plot",2023,"no","systematic"
"61","arctic fox","black plateau",1993,"no","systematic"
"62","arctic fox","black plateau",1994,"no","systematic"
"63","arctic fox","black plateau",1995,"no","systematic"
"64","arctic fox","black plateau",1996,"no","systematic"
"65","arctic fox","black plateau",1997,"no","systematic"
"66","arctic fox","black plateau",1998,"no","systematic"
"67","arctic fox","black plateau",1999,"no","systematic"
"68","arctic fox","black plateau",2000,"no","systematic"
"69","arctic fox","black plateau",2001,"no","systematic"
"70","arctic fox","black plateau",2002,"no","systematic"
"71","arctic fox","black plateau",2003,"no","systematic"
"72","arctic fox","black plateau",2004,"no","systematic"
"73","arctic fox","black plateau",2005,"no","systematic"
"74","arctic fox","black plateau",2006,"no","systematic"
"75","arctic fox","black plateau",2007,"no","systematic"
"76","arctic fox","black plateau",2008,"yes","systematic"
"77","arctic fox","black plateau",2009,"yes","systematic"
"78","arctic fox","black plateau",2010,"yes","systematic"
"79","arctic fox","black plateau",2011,"yes","systematic"
"80","arctic fox","black plateau",2012,"yes","systematic"
"81","arctic fox","black plateau",2013,"yes","systematic"
"82","arctic fox","black plateau",2014,"yes","systematic"
"83","arctic fox","black plateau",2015,"yes","systematic"
"84","arctic fox","black plateau",2016,"yes","systematic"
"85","arctic fox","black plateau",2017,"no","systematic"
"86","arctic fox","black plateau",2018,"no","systematic"
"87","arctic fox","black plateau",2019,"no","systematic"
"88","arctic fox","black plateau",2021,"no","systematic"
"89","arctic fox","black plateau",2022,"no","systematic"
"90","arctic fox","black plateau",2023,"no","systematic"
"91","arctic fox","camp 1",1993,"no","systematic"
"92","arctic fox","camp 1",1994,"no","systematic"
"93","arctic fox","camp 1",1995,"no","systematic"
"94","arctic fox","camp 1",1996,"no","systematic"
"95","arctic fox","camp 1",1997,"no","systematic"
"96","arctic fox","camp 1",1998,"no","systematic"
"97","arctic fox","camp 1",1999,"no","systematic"
"98","arctic fox","camp 1",2000,"no","systematic"
"99","arctic fox","camp 1",2001,"no","systematic"
"100","arctic fox","camp 1",2002,"no","systematic"
"101","arctic fox","camp 1",2003,"no","systematic"
"102","arctic fox","camp 1",2004,"no","systematic"
"103","arctic fox","camp 1",2005,"no","systematic"
"104","arctic fox","camp 1",2006,"no","systematic"
"105","arctic fox","camp 1",2007,"no","systematic"
"106","arctic fox","camp 1",2008,"yes","systematic"
"107","arctic fox","camp 1",2009,"yes","systematic"
"108","arctic fox","camp 1",2010,"yes","systematic"
"109","arctic fox","camp 1",2011,"yes","systematic"
"110","arctic fox","camp 1",2012,"yes","systematic"
"111","arctic fox","camp 1",2013,"yes","systematic"
"112","arctic fox","camp 1",2014,"yes","systematic"
"113","arctic fox","camp 1",2015,"yes","systematic"
"114","arctic fox","camp 1",2016,"yes","systematic"
"115","arctic fox","camp 1",2017,"no","systematic"
"116","arctic fox","camp 1",2018,"no","systematic"
"117","arctic fox","camp 1",2019,"no","systematic"
"118","arctic fox","camp 1",2021,"no","systematic"
"119","arctic fox","camp 1",2022,"no","systematic"
"120","arctic fox","camp 1",2023,"no","systematic"
"121","arctic fox","camp 2",1993,"no","systematic"
"122","arctic fox","camp 2",1994,"no","systematic"
"123","arctic fox","camp 2",1995,"no","systematic"
"124","arctic fox","camp 2",1996,"no","systematic"
"125","arctic fox","camp 2",1997,"no","systematic"
"126","arctic fox","camp 2",1998,"no","systematic"
"127","arctic fox","camp 2",1999,"no","systematic"
"128","arctic fox","camp 2",2000,"no","systematic"
"129","arctic fox","camp 2",2001,"no","systematic"
"130","arctic fox","camp 2",2002,"no","systematic"
"131","arctic fox","camp 2",2003,"no","systematic"
"132","arctic fox","camp 2",2004,"no","systematic"
"133","arctic fox","camp 2",2005,"no","systematic"
"134","arctic fox","camp 2",2006,"no","systematic"
"135","arctic fox","camp 2",2007,"no","systematic"
"136","arctic fox","camp 2",2008,"yes","systematic"
"137","arctic fox","camp 2",2009,"yes","systematic"
"138","arctic fox","camp 2",2010,"yes","systematic"
"139","arctic fox","camp 2",2011,"yes","systematic"
"140","arctic fox","camp 2",2012,"yes","systematic"
"141","arctic fox","camp 2",2013,"yes","systematic"
"142","arctic fox","camp 2",2014,"yes","systematic"
"143","arctic fox","camp 2",2015,"yes","systematic"
"144","arctic fox","camp 2",2016,"yes","systematic"
"145","arctic fox","camp 2",2017,"no","systematic"
"146","arctic fox","camp 2",2018,"no","systematic"
"147","arctic fox","camp 2",2019,"no","systematic"
"148","arctic fox","camp 2",2021,"no","systematic"
"149","arctic fox","camp 2",2022,"no","systematic"
"150","arctic fox","camp 2",2023,"no","systematic"
"151","arctic fox","camp 3",1993,"no","systematic"
"152","arctic fox","camp 3",1994,"no","systematic"
"153","arctic fox","camp 3",1995,"no","systematic"
"154","arctic fox","camp 3",1996,"no","systematic"
"155","arctic fox","camp 3",1997,"no","systematic"
"156","arctic fox","camp 3",1998,"no","systematic"
"157","arctic fox","camp 3",1999,"no","systematic"
"158","arctic fox","camp 3",2000,"no","systematic"
"159","arctic fox","camp 3",2001,"no","systematic"
"160","arctic fox","camp 3",2002,"no","systematic"
"161","arctic fox","camp 3",2003,"no","systematic"
"162","arctic fox","camp 3",2004,"no","systematic"
"163","arctic fox","camp 3",2005,"no","systematic"
"164","arctic fox","camp 3",2006,"no","systematic"
"165","arctic fox","camp 3",2007,"no","systematic"
"166","arctic fox","camp 3",2008,"yes","systematic"
"167","arctic fox","camp 3",2009,"yes","systematic"
"168","arctic fox","camp 3",2010,"yes","systematic"
"169","arctic fox","camp 3",2011,"yes","systematic"
"170","arctic fox","camp 3",2012,"yes","systematic"
"171","arctic fox","camp 3",2013,"yes","systematic"
"172","arctic fox","camp 3",2014,"yes","systematic"
"173","arctic fox","camp 3",2015,"yes","systematic"
"174","arctic fox","camp 3",2016,"yes","systematic"
"175","arctic fox","camp 3",2017,"no","systematic"
"176","arctic fox","camp 3",2018,"no","systematic"
"177","arctic fox","camp 3",2019,"no","systematic"
"178","arctic fox","camp 3",2021,"no","systematic"
"179","arctic fox","camp 3",2022,"no","systematic"
"180","arctic fox","camp 3",2023,"no","systematic"
"181","arctic fox","camp 3 plateau",1993,"no","systematic"
"182","arctic fox","camp 3 plateau",1994,"no","systematic"
"183","arctic fox","camp 3 plateau",1995,"no","systematic"
"184","arctic fox","camp 3 plateau",1996,"no","systematic"
"185","arctic fox","camp 3 plateau",1997,"no","systematic"
"186","arctic fox","camp 3 plateau",1998,"no","systematic"
"187","arctic fox","camp 3 plateau",1999,"no","systematic"
"188","arctic fox","camp 3 plateau",2000,"no","systematic"
"189","arctic fox","camp 3 plateau",2001,"no","systematic"
"190","arctic fox","camp 3 plateau",2002,"no","systematic"
"191","arctic fox","camp 3 plateau",2003,"no","systematic"
"192","arctic fox","camp 3 plateau",2004,"no","systematic"
"193","arctic fox","camp 3 plateau",2005,"no","systematic"
"194","arctic fox","camp 3 plateau",2006,"no","systematic"
"195","arctic fox","camp 3 plateau",2007,"no","systematic"
"196","arctic fox","camp 3 plateau",2008,"yes","systematic"
"197","arctic fox","camp 3 plateau",2009,"yes","systematic"
"198","arctic fox","camp 3 plateau",2010,"yes","systematic"
"199","arctic fox","camp 3 plateau",2011,"yes","systematic"
"200","arctic fox","camp 3 plateau",2012,"yes","systematic"
"201","arctic fox","camp 3 plateau",2013,"yes","systematic"
"202","arctic fox","camp 3 plateau",2014,"yes","systematic"
"203","arctic fox","camp 3 plateau",2015,"yes","systematic"
"204","arctic fox","camp 3 plateau",2016,"yes","systematic"
"205","arctic fox","camp 3 plateau",2017,"no","systematic"
"206","arctic fox","camp 3 plateau",2018,"no","systematic"
"207","arctic fox","camp 3 plateau",2019,"no","systematic"
"208","arctic fox","camp 3 plateau",2021,"no","systematic"
"209","arctic fox","camp 3 plateau",2022,"no","systematic"
"210","arctic fox","camp 3 plateau",2023,"no","systematic"
"211","arctic fox","dufour",1993,"no","systematic"
"212","arctic fox","dufour",1994,"no","systematic"
"213","arctic fox","dufour",1995,"no","systematic"
"214","arctic fox","dufour",1996,"no","systematic"
"215","arctic fox","dufour",1997,"no","systematic"
"216","arctic fox","dufour",1998,"no","systematic"
"217","arctic fox","dufour",1999,"no","systematic"
"218","arctic fox","dufour",2000,"no","systematic"
"219","arctic fox","dufour",2001,"no","systematic"
"220","arctic fox","dufour",2002,"no","systematic"
"221","arctic fox","dufour",2003,"no","systematic"
"222","arctic fox","dufour",2004,"no","systematic"
"223","arctic fox","dufour",2005,"no","systematic"
"224","arctic fox","dufour",2006,"no","systematic"
"225","arctic fox","dufour",2007,"no","systematic"
"226","arctic fox","dufour",2008,"yes","systematic"
"227","arctic fox","dufour",2009,"yes","systematic"
"228","arctic fox","dufour",2010,"yes","systematic"
"229","arctic fox","dufour",2011,"yes","systematic"
"230","arctic fox","dufour",2012,"yes","systematic"
"231","arctic fox","dufour",2013,"yes","systematic"
"232","arctic fox","dufour",2014,"yes","systematic"
"233","arctic fox","dufour",2015,"yes","systematic"
"234","arctic fox","dufour",2016,"yes","systematic"
"235","arctic fox","dufour",2017,"no","systematic"
"236","arctic fox","dufour",2018,"no","systematic"
"237","arctic fox","dufour",2019,"no","systematic"
"238","arctic fox","dufour",2021,"no","systematic"
"239","arctic fox","dufour",2022,"no","systematic"
"240","arctic fox","dufour",2023,"no","systematic"
"241","arctic fox","goose point",1993,"no","systematic"
"242","arctic fox","goose point",1994,"no","systematic"
"243","arctic fox","goose point",1995,"no","systematic"
"244","arctic fox","goose point",1996,"no","systematic"
"245","arctic fox","goose point",1997,"no","systematic"
"246","arctic fox","goose point",1998,"no","systematic"
"247","arctic fox","goose point",1999,"no","systematic"
"248","arctic fox","goose point",2000,"no","systematic"
"249","arctic fox","goose point",2001,"no","systematic"
"250","arctic fox","goose point",2002,"no","systematic"
"251","arctic fox","goose point",2003,"no","systematic"
"252","arctic fox","goose point",2004,"no","systematic"
"253","arctic fox","goose point",2005,"no","systematic"
"254","arctic fox","goose point",2006,"no","systematic"
"255","arctic fox","goose point",2007,"no","systematic"
"256","arctic fox","goose point",2008,"yes","systematic"
"257","arctic fox","goose point",2009,"yes","systematic"
"258","arctic fox","goose point",2010,"yes","systematic"
"259","arctic fox","goose point",2011,"yes","systematic"
"260","arctic fox","goose point",2012,"yes","systematic"
"261","arctic fox","goose point",2013,"yes","systematic"
"262","arctic fox","goose point",2014,"yes","systematic"
"263","arctic fox","goose point",2015,"yes","systematic"
"264","arctic fox","goose point",2016,"yes","systematic"
"265","arctic fox","goose point",2017,"no","systematic"
"266","arctic fox","goose point",2018,"no","systematic"
"267","arctic fox","goose point",2019,"no","systematic"
"268","arctic fox","goose point",2021,"no","systematic"
"269","arctic fox","goose point",2022,"no","systematic"
"270","arctic fox","goose point",2023,"no","systematic"
"271","arctic fox","malaview",1993,"no","systematic"
"272","arctic fox","malaview",1994,"no","systematic"
"273","arctic fox","malaview",1995,"no","systematic"
"274","arctic fox","malaview",1996,"no","systematic"
"275","arctic fox","malaview",1997,"no","systematic"
"276","arctic fox","malaview",1998,"no","systematic"
"277","arctic fox","malaview",1999,"no","systematic"
"278","arctic fox","malaview",2000,"no","systematic"
"279","arctic fox","malaview",2001,"no","systematic"
"280","arctic fox","malaview",2002,"no","systematic"
"281","arctic fox","malaview",2003,"no","systematic"
"282","arctic fox","malaview",2004,"no","systematic"
"283","arctic fox","malaview",2005,"no","systematic"
"284","arctic fox","malaview",2006,"no","systematic"
"285","arctic fox","malaview",2007,"no","systematic"
"286","arctic fox","malaview",2008,"yes","systematic"
"287","arctic fox","malaview",2009,"yes","systematic"
"288","arctic fox","malaview",2010,"yes","systematic"
"289","arctic fox","malaview",2011,"yes","systematic"
"290","arctic fox","malaview",2012,"yes","systematic"
"291","arctic fox","malaview",2013,"yes","systematic"
"292","arctic fox","malaview",2014,"yes","systematic"
"293","arctic fox","malaview",2015,"yes","systematic"
"294","arctic fox","malaview",2016,"yes","systematic"
"295","arctic fox","malaview",2017,"no","systematic"
"296","arctic fox","malaview",2018,"no","systematic"
"297","arctic fox","malaview",2019,"no","systematic"
"298","arctic fox","malaview",2021,"no","systematic"
"299","arctic fox","malaview",2022,"no","systematic"
"300","arctic fox","malaview",2023,"no","systematic"
"301","arctic fox","qarlikturvik valley",1993,"no","systematic"
"302","arctic fox","qarlikturvik valley",1994,"no","systematic"
"303","arctic fox","qarlikturvik valley",1995,"no","systematic"
"304","arctic fox","qarlikturvik valley",1996,"no","systematic"
"305","arctic fox","qarlikturvik valley",1997,"no","systematic"
"306","arctic fox","qarlikturvik valley",1998,"no","systematic"
"307","arctic fox","qarlikturvik valley",1999,"no","systematic"
"308","arctic fox","qarlikturvik valley",2000,"no","systematic"
"309","arctic fox","qarlikturvik valley",2001,"no","systematic"
"310","arctic fox","qarlikturvik valley",2002,"no","systematic"
"311","arctic fox","qarlikturvik valley",2003,"no","systematic"
"312","arctic fox","qarlikturvik valley",2004,"no","systematic"
"313","arctic fox","qarlikturvik valley",2005,"no","systematic"
"314","arctic fox","qarlikturvik valley",2006,"no","systematic"
"315","arctic fox","qarlikturvik valley",2007,"no","systematic"
"316","arctic fox","qarlikturvik valley",2008,"yes","systematic"
"317","arctic fox","qarlikturvik valley",2009,"yes","systematic"
"318","arctic fox","qarlikturvik valley",2010,"yes","systematic"
"319","arctic fox","qarlikturvik valley",2011,"yes","systematic"
"320","arctic fox","qarlikturvik valley",2012,"yes","systematic"
"321","arctic fox","qarlikturvik valley",2013,"yes","systematic"
"322","arctic fox","qarlikturvik valley",2014,"yes","systematic"
"323","arctic fox","qarlikturvik valley",2015,"yes","systematic"
"324","arctic fox","qarlikturvik valley",2016,"yes","systematic"
"325","arctic fox","qarlikturvik valley",2017,"no","systematic"
"326","arctic fox","qarlikturvik valley",2018,"no","systematic"
"327","arctic fox","qarlikturvik valley",2019,"no","systematic"
"328","arctic fox","qarlikturvik valley",2021,"no","systematic"
"329","arctic fox","qarlikturvik valley",2022,"no","systematic"
"330","arctic fox","qarlikturvik valley",2023,"no","systematic"
"331","arctic fox","south plateau",1993,"no","systematic"
"332","arctic fox","south plateau",1994,"no","systematic"
"333","arctic fox","south plateau",1995,"no","systematic"
"334","arctic fox","south plateau",1996,"no","systematic"
"335","arctic fox","south plateau",1997,"no","systematic"
"336","arctic fox","south plateau",1998,"no","systematic"
"337","arctic fox","south plateau",1999,"no","systematic"
"338","arctic fox","south plateau",2000,"no","systematic"
"339","arctic fox","south plateau",2001,"no","systematic"
"340","arctic fox","south plateau",2002,"no","systematic"
"341","arctic fox","south plateau",2003,"no","systematic"
"342","arctic fox","south plateau",2004,"no","systematic"
"343","arctic fox","south plateau",2005,"no","systematic"
"344","arctic fox","south plateau",2006,"no","systematic"
"345","arctic fox","south plateau",2007,"no","systematic"
"346","arctic fox","south plateau",2008,"yes","systematic"
"347","arctic fox","south plateau",2009,"yes","systematic"
"348","arctic fox","south plateau",2010,"yes","systematic"
"349","arctic fox","south plateau",2011,"yes","systematic"
"350","arctic fox","south plateau",2012,"yes","systematic"
"351","arctic fox","south plateau",2013,"yes","systematic"
"352","arctic fox","south plateau",2014,"yes","systematic"
"353","arctic fox","south plateau",2015,"yes","systematic"
"354","arctic fox","south plateau",2016,"yes","systematic"
"355","arctic fox","south plateau",2017,"no","systematic"
"356","arctic fox","south plateau",2018,"no","systematic"
"357","arctic fox","south plateau",2019,"no","systematic"
"358","arctic fox","south plateau",2021,"no","systematic"
"359","arctic fox","south plateau",2022,"no","systematic"
"360","arctic fox","south plateau",2023,"no","systematic"
"361","arctic fox","study area",1993,"no","systematic"
"362","arctic fox","study area",1994,"no","systematic"
"363","arctic fox","study area",1995,"no","systematic"
"364","arctic fox","study area",1996,"no","systematic"
"365","arctic fox","study area",1997,"no","systematic"
"366","arctic fox","study area",1998,"no","systematic"
"367","arctic fox","study area",1999,"no","systematic"
"368","arctic fox","study area",2000,"no","systematic"
"369","arctic fox","study area",2001,"no","systematic"
"370","arctic fox","study area",2002,"no","systematic"
"371","arctic fox","study area",2003,"no","systematic"
"372","arctic fox","study area",2004,"no","systematic"
"373","arctic fox","study area",2005,"no","systematic"
"374","arctic fox","study area",2006,"no","systematic"
"375","arctic fox","study area",2007,"no","systematic"
"376","arctic fox","study area",2008,"yes","systematic"
"377","arctic fox","study area",2009,"yes","systematic"
"378","arctic fox","study area",2010,"yes","systematic"
"379","arctic fox","study area",2011,"yes","systematic"
"380","arctic fox","study area",2012,"yes","systematic"
"381","arctic fox","study area",2013,"yes","systematic"
"382","arctic fox","study area",2014,"yes","systematic"
"383","arctic fox","study area",2015,"yes","systematic"
"384","arctic fox","study area",2016,"yes","systematic"
"385","arctic fox","study area",2017,"no","systematic"
"386","arctic fox","study area",2018,"no","systematic"
"387","arctic fox","study area",2019,"no","systematic"
"388","arctic fox","study area",2021,"no","systematic"
"389","arctic fox","study area",2022,"no","systematic"
"390","arctic fox","study area",2023,"no","systematic"
"391","arctic fox","trapping grids",1993,"no","systematic"
"392","arctic fox","trapping grids",1994,"no","systematic"
"393","arctic fox","trapping grids",1995,"no","systematic"
"394","arctic fox","trapping grids",1996,"no","systematic"
"395","arctic fox","trapping grids",1997,"no","systematic"
"396","arctic fox","trapping grids",1998,"no","systematic"
"397","arctic fox","trapping grids",1999,"no","systematic"
"398","arctic fox","trapping grids",2000,"no","systematic"
"399","arctic fox","trapping grids",2001,"no","systematic"
"400","arctic fox","trapping grids",2002,"no","systematic"
"401","arctic fox","trapping grids",2003,"no","systematic"
"402","arctic fox","trapping grids",2004,"no","systematic"
"403","arctic fox","trapping grids",2005,"no","systematic"
"404","arctic fox","trapping grids",2006,"no","systematic"
"405","arctic fox","trapping grids",2007,"no","systematic"
"406","arctic fox","trapping grids",2008,"no","systematic"
"407","arctic fox","trapping grids",2009,"no","systematic"
"408","arctic fox","trapping grids",2010,"no","systematic"
"409","arctic fox","trapping grids",2011,"no","systematic"
"410","arctic fox","trapping grids",2012,"no","systematic"
"411","arctic fox","trapping grids",2013,"no","systematic"
"412","arctic fox","trapping grids",2014,"no","systematic"
"413","arctic fox","trapping grids",2015,"no","systematic"
"414","arctic fox","trapping grids",2016,"no","systematic"
"415","arctic fox","trapping grids",2017,"no","systematic"
"416","arctic fox","trapping grids",2018,"no","systematic"
"417","arctic fox","trapping grids",2019,"no","systematic"
"418","arctic fox","trapping grids",2021,"no","systematic"
"419","arctic fox","trapping grids",2022,"no","systematic"
"420","arctic fox","trapping grids",2023,"no","systematic"
"421","bairds sandpiper","2x1km plot",1993,"no","systematic"
"422","bairds sandpiper","2x1km plot",1994,"no","systematic"
"423","bairds sandpiper","2x1km plot",1995,"no","systematic"
"424","bairds sandpiper","2x1km plot",1996,"no","systematic"
"425","bairds sandpiper","2x1km plot",1997,"no","systematic"
"426","bairds sandpiper","2x1km plot",1998,"no","systematic"
"427","bairds sandpiper","2x1km plot",1999,"no","systematic"
"428","bairds sandpiper","2x1km plot",2000,"no","systematic"
"429","bairds sandpiper","2x1km plot",2001,"no","systematic"
"430","bairds sandpiper","2x1km plot",2002,"no","systematic"
"431","bairds sandpiper","2x1km plot",2003,"no","systematic"
"432","bairds sandpiper","2x1km plot",2004,"no","systematic"
"433","bairds sandpiper","2x1km plot",2005,"yes","systematic"
"434","bairds sandpiper","2x1km plot",2006,"yes","systematic"
"435","bairds sandpiper","2x1km plot",2007,"yes","systematic"
"436","bairds sandpiper","2x1km plot",2008,"yes","systematic"
"437","bairds sandpiper","2x1km plot",2009,"yes","systematic"
"438","bairds sandpiper","2x1km plot",2010,"yes","systematic"
"439","bairds sandpiper","2x1km plot",2011,"yes","systematic"
"440","bairds sandpiper","2x1km plot",2012,"yes","systematic"
"441","bairds sandpiper","2x1km plot",2013,"yes","systematic"
"442","bairds sandpiper","2x1km plot",2014,"yes","systematic"
"443","bairds sandpiper","2x1km plot",2015,"yes","systematic"
"444","bairds sandpiper","2x1km plot",2016,"yes","systematic"
"445","bairds sandpiper","2x1km plot",2017,"yes","systematic"
"446","bairds sandpiper","2x1km plot",2018,"yes","systematic"
"447","bairds sandpiper","2x1km plot",2019,"yes","systematic"
"448","bairds sandpiper","2x1km plot",2021,"no","systematic"
"449","bairds sandpiper","2x1km plot",2022,"yes","systematic"
"450","bairds sandpiper","2x1km plot",2023,"yes","systematic"
"451","bairds sandpiper","4x2km plot",1993,"no","systematic"
"452","bairds sandpiper","4x2km plot",1994,"no","systematic"
"453","bairds sandpiper","4x2km plot",1995,"no","systematic"
"454","bairds sandpiper","4x2km plot",1996,"no","systematic"
"455","bairds sandpiper","4x2km plot",1997,"no","systematic"
"456","bairds sandpiper","4x2km plot",1998,"no","systematic"
"457","bairds sandpiper","4x2km plot",1999,"no","systematic"
"458","bairds sandpiper","4x2km plot",2000,"no","systematic"
"459","bairds sandpiper","4x2km plot",2001,"no","systematic"
"460","bairds sandpiper","4x2km plot",2002,"no","systematic"
"461","bairds sandpiper","4x2km plot",2003,"no","systematic"
"462","bairds sandpiper","4x2km plot",2004,"no","systematic"
"463","bairds sandpiper","4x2km plot",2005,"no","systematic"
"464","bairds sandpiper","4x2km plot",2006,"no","systematic"
"465","bairds sandpiper","4x2km plot",2007,"no","systematic"
"466","bairds sandpiper","4x2km plot",2008,"no","systematic"
"467","bairds sandpiper","4x2km plot",2009,"no","systematic"
"468","bairds sandpiper","4x2km plot",2010,"no","systematic"
"469","bairds sandpiper","4x2km plot",2011,"no","systematic"
"470","bairds sandpiper","4x2km plot",2012,"no","systematic"
"471","bairds sandpiper","4x2km plot",2013,"no","systematic"
"472","bairds sandpiper","4x2km plot",2014,"no","systematic"
"473","bairds sandpiper","4x2km plot",2015,"no","systematic"
"474","bairds sandpiper","4x2km plot",2016,"no","systematic"
"475","bairds sandpiper","4x2km plot",2017,"no","systematic"
"476","bairds sandpiper","4x2km plot",2018,"no","systematic"
"477","bairds sandpiper","4x2km plot",2019,"no","systematic"
"478","bairds sandpiper","4x2km plot",2021,"no","systematic"
"479","bairds sandpiper","4x2km plot",2022,"no","systematic"
"480","bairds sandpiper","4x2km plot",2023,"no","systematic"
"481","bairds sandpiper","black plateau",1993,"no","systematic"
"482","bairds sandpiper","black plateau",1994,"no","systematic"
"483","bairds sandpiper","black plateau",1995,"no","systematic"
"484","bairds sandpiper","black plateau",1996,"no","systematic"
"485","bairds sandpiper","black plateau",1997,"no","systematic"
"486","bairds sandpiper","black plateau",1998,"no","systematic"
"487","bairds sandpiper","black plateau",1999,"no","systematic"
"488","bairds sandpiper","black plateau",2000,"no","systematic"
"489","bairds sandpiper","black plateau",2001,"no","systematic"
"490","bairds sandpiper","black plateau",2002,"no","systematic"
"491","bairds sandpiper","black plateau",2003,"no","systematic"
"492","bairds sandpiper","black plateau",2004,"no","systematic"
"493","bairds sandpiper","black plateau",2005,"no","systematic"
"494","bairds sandpiper","black plateau",2006,"no","systematic"
"495","bairds sandpiper","black plateau",2007,"no","systematic"
"496","bairds sandpiper","black plateau",2008,"no","systematic"
"497","bairds sandpiper","black plateau",2009,"no","systematic"
"498","bairds sandpiper","black plateau",2010,"no","systematic"
"499","bairds sandpiper","black plateau",2011,"no","systematic"
"500","bairds sandpiper","black plateau",2012,"no","systematic"
"501","bairds sandpiper","black plateau",2013,"no","systematic"
"502","bairds sandpiper","black plateau",2014,"no","systematic"
"503","bairds sandpiper","black plateau",2015,"no","systematic"
"504","bairds sandpiper","black plateau",2016,"no","systematic"
"505","bairds sandpiper","black plateau",2017,"no","systematic"
"506","bairds sandpiper","black plateau",2018,"no","systematic"
"507","bairds sandpiper","black plateau",2019,"no","systematic"
"508","bairds sandpiper","black plateau",2021,"no","systematic"
"509","bairds sandpiper","black plateau",2022,"no","systematic"
"510","bairds sandpiper","black plateau",2023,"no","systematic"
"511","bairds sandpiper","camp 1",1993,"no","systematic"
"512","bairds sandpiper","camp 1",1994,"no","systematic"
"513","bairds sandpiper","camp 1",1995,"no","systematic"
"514","bairds sandpiper","camp 1",1996,"no","systematic"
"515","bairds sandpiper","camp 1",1997,"no","systematic"
"516","bairds sandpiper","camp 1",1998,"no","systematic"
"517","bairds sandpiper","camp 1",1999,"no","systematic"
"518","bairds sandpiper","camp 1",2000,"no","systematic"
"519","bairds sandpiper","camp 1",2001,"no","systematic"
"520","bairds sandpiper","camp 1",2002,"no","systematic"
"521","bairds sandpiper","camp 1",2003,"no","systematic"
"522","bairds sandpiper","camp 1",2004,"no","systematic"
"523","bairds sandpiper","camp 1",2005,"no","systematic"
"524","bairds sandpiper","camp 1",2006,"no","systematic"
