"species","zone","year","sampled","monitoring"
"american ermine","dufour",2003,"yes","opportunistic"
"american ermine","dufour",2004,"yes","opportunistic"
"american ermine","dufour",2005,"yes","opportunistic"
"american ermine","dufour",2006,"yes","opportunistic"
"american ermine","dufour",2007,"yes","opportunistic"
"american ermine","dufour",2008,"yes","opportunistic"
"american ermine","dufour",2009,"yes","opportunistic"
"american ermine","dufour",2010,"yes","opportunistic"
"american ermine","dufour",2011,"yes","opportunistic"
"american ermine","dufour",2012,"yes","opportunistic"
"american ermine","dufour",2013,"yes","opportunistic"
"american ermine","dufour",2014,"yes","opportunistic"
"american ermine","dufour",2015,"yes","opportunistic"
"american ermine","dufour",2016,"yes","opportunistic"
"american ermine","dufour",2017,"yes","opportunistic"
"american ermine","dufour",2018,"yes","opportunistic"
"american ermine","dufour",2019,"yes","opportunistic"
"american ermine","dufour",2021,"no","opportunistic"
"american ermine","dufour",2022,"no","opportunistic"
"american ermine","dufour",2023,"no","opportunistic"
"american ermine","goose point",1993,"yes","opportunistic"
"american ermine","goose point",1994,"yes","opportunistic"
"american ermine","goose point",1995,"yes","opportunistic"
"american ermine","goose point",1996,"yes","opportunistic"
"american ermine","goose point",1997,"yes","opportunistic"
"american ermine","goose point",1998,"yes","opportunistic"
"american ermine","goose point",1999,"yes","opportunistic"
"american ermine","goose point",2000,"yes","opportunistic"
"american ermine","goose point",2001,"yes","opportunistic"
"american ermine","goose point",2002,"yes","opportunistic"
"american ermine","goose point",2003,"yes","opportunistic"
"american ermine","goose point",2004,"yes","opportunistic"
"american ermine","goose point",2005,"yes","opportunistic"
"american ermine","goose point",2006,"yes","opportunistic"
"american ermine","goose point",2007,"yes","opportunistic"
"american ermine","goose point",2008,"yes","opportunistic"
"american ermine","goose point",2009,"yes","opportunistic"
"american ermine","goose point",2010,"yes","opportunistic"
"american ermine","goose point",2011,"yes","opportunistic"
"american ermine","goose point",2012,"yes","opportunistic"
"american ermine","goose point",2013,"yes","opportunistic"
"american ermine","goose point",2014,"yes","opportunistic"
"american ermine","goose point",2015,"yes","opportunistic"
"american ermine","goose point",2016,"yes","opportunistic"
"american ermine","goose point",2017,"yes","opportunistic"
"american ermine","goose point",2018,"yes","opportunistic"
"american ermine","goose point",2019,"yes","opportunistic"
"american ermine","goose point",2021,"no","opportunistic"
"american ermine","goose point",2022,"no","opportunistic"
"american ermine","goose point",2023,"no","opportunistic"
"american ermine","malaview",1993,"yes","opportunistic"
"american ermine","malaview",1994,"yes","opportunistic"
"american ermine","malaview",1995,"yes","opportunistic"
"american ermine","malaview",1996,"yes","opportunistic"
"american ermine","malaview",1997,"yes","opportunistic"
"american ermine","malaview",1998,"yes","opportunistic"
"american ermine","malaview",1999,"yes","opportunistic"
"american ermine","malaview",2000,"yes","opportunistic"
"american ermine","malaview",2001,"yes","opportunistic"
"american ermine","malaview",2002,"yes","opportunistic"
"american ermine","malaview",2003,"yes","opportunistic"
"american ermine","malaview",2004,"yes","opportunistic"
"american ermine","malaview",2005,"yes","opportunistic"
"american ermine","malaview",2006,"yes","opportunistic"
"american ermine","malaview",2007,"yes","opportunistic"
"american ermine","malaview",2008,"yes","opportunistic"
"american ermine","malaview",2009,"yes","opportunistic"
"american ermine","malaview",2010,"yes","opportunistic"
"american ermine","malaview",2011,"yes","opportunistic"
"american ermine","malaview",2012,"yes","opportunistic"
"american ermine","malaview",2013,"yes","opportunistic"
"american ermine","malaview",2014,"yes","opportunistic"
"american ermine","malaview",2015,"yes","opportunistic"
"american ermine","malaview",2016,"yes","opportunistic"
"american ermine","malaview",2017,"yes","opportunistic"
"american ermine","malaview",2018,"yes","opportunistic"
"american ermine","malaview",2019,"yes","opportunistic"
"american ermine","malaview",2021,"no","opportunistic"
"american ermine","malaview",2022,"no","opportunistic"
"american ermine","malaview",2023,"no","opportunistic"
"american ermine","qarlikturvik valley",1993,"yes","opportunistic"
"american ermine","qarlikturvik valley",1994,"yes","opportunistic"
"american ermine","qarlikturvik valley",1995,"yes","opportunistic"
"american ermine","qarlikturvik valley",1996,"yes","opportunistic"
"american ermine","qarlikturvik valley",1997,"yes","opportunistic"
"american ermine","qarlikturvik valley",1998,"yes","opportunistic"
"american ermine","qarlikturvik valley",1999,"yes","opportunistic"
"american ermine","qarlikturvik valley",2000,"yes","opportunistic"
"american ermine","qarlikturvik valley",2001,"yes","opportunistic"
"american ermine","qarlikturvik valley",2002,"yes","opportunistic"
"american ermine","qarlikturvik valley",2003,"yes","opportunistic"
"american ermine","qarlikturvik valley",2004,"yes","opportunistic"
"american ermine","qarlikturvik valley",2005,"yes","opportunistic"
"american ermine","qarlikturvik valley",2006,"yes","opportunistic"
"american ermine","qarlikturvik valley",2007,"yes","opportunistic"
"american ermine","qarlikturvik valley",2008,"yes","opportunistic"
"american ermine","qarlikturvik valley",2009,"yes","opportunistic"
"american ermine","qarlikturvik valley",2010,"yes","opportunistic"
"american ermine","qarlikturvik valley",2011,"yes","opportunistic"
"american ermine","qarlikturvik valley",2012,"yes","opportunistic"
"american ermine","qarlikturvik valley",2013,"yes","opportunistic"
"american ermine","qarlikturvik valley",2014,"yes","opportunistic"
"american ermine","qarlikturvik valley",2015,"yes","opportunistic"
"american ermine","qarlikturvik valley",2016,"yes","opportunistic"
"american ermine","qarlikturvik valley",2017,"yes","opportunistic"
"american ermine","qarlikturvik valley",2018,"yes","opportunistic"
"american ermine","qarlikturvik valley",2019,"yes","opportunistic"
"american ermine","qarlikturvik valley",2021,"no","opportunistic"
"american ermine","qarlikturvik valley",2022,"no","opportunistic"
"american ermine","qarlikturvik valley",2023,"no","opportunistic"
"american ermine","south plateau",1993,"yes","opportunistic"
"american ermine","south plateau",1994,"yes","opportunistic"
"american ermine","south plateau",1995,"yes","opportunistic"
"american ermine","south plateau",1996,"yes","opportunistic"
"american ermine","south plateau",1997,"yes","opportunistic"
"american ermine","south plateau",1998,"yes","opportunistic"
"american ermine","south plateau",1999,"yes","opportunistic"
"american ermine","south plateau",2000,"yes","opportunistic"
"american ermine","south plateau",2001,"yes","opportunistic"
"american ermine","south plateau",2002,"yes","opportunistic"
"american ermine","south plateau",2003,"yes","opportunistic"
"american ermine","south plateau",2004,"yes","opportunistic"
"american ermine","south plateau",2005,"yes","opportunistic"
"american ermine","south plateau",2006,"yes","opportunistic"
"american ermine","south plateau",2007,"yes","opportunistic"
"american ermine","south plateau",2008,"yes","opportunistic"
"american ermine","south plateau",2009,"yes","opportunistic"
"american ermine","south plateau",2010,"yes","opportunistic"
"american ermine","south plateau",2011,"yes","opportunistic"
"american ermine","south plateau",2012,"yes","opportunistic"
"american ermine","south plateau",2013,"yes","opportunistic"
"american ermine","south plateau",2014,"yes","opportunistic"
"american ermine","south plateau",2015,"yes","opportunistic"
"american ermine","south plateau",2016,"yes","opportunistic"
"american ermine","south plateau",2017,"yes","opportunistic"
"american ermine","south plateau",2018,"yes","opportunistic"
"american ermine","south plateau",2019,"yes","opportunistic"
"american ermine","south plateau",2021,"no","opportunistic"
"american ermine","south plateau",2022,"no","opportunistic"
"american ermine","south plateau",2023,"no","opportunistic"
"american ermine","study area",1993,"yes","opportunistic"
"american ermine","study area",1994,"yes","opportunistic"
"american ermine","study area",1995,"yes","opportunistic"
"american ermine","study area",1996,"yes","opportunistic"
"american ermine","study area",1997,"yes","opportunistic"
"american ermine","study area",1998,"yes","opportunistic"
"american ermine","study area",1999,"yes","opportunistic"
"american ermine","study area",2000,"yes","opportunistic"
"american ermine","study area",2001,"yes","opportunistic"
"american ermine","study area",2002,"yes","opportunistic"
"american ermine","study area",2003,"yes","opportunistic"
"american ermine","study area",2004,"yes","opportunistic"
"american ermine","study area",2005,"yes","opportunistic"
"american ermine","study area",2006,"yes","opportunistic"
"american ermine","study area",2007,"yes","opportunistic"
"american ermine","study area",2008,"yes","opportunistic"
"american ermine","study area",2009,"yes","opportunistic"
"american ermine","study area",2010,"yes","opportunistic"
"american ermine","study area",2011,"yes","opportunistic"
"american ermine","study area",2012,"yes","opportunistic"
"american ermine","study area",2013,"yes","opportunistic"
"american ermine","study area",2014,"yes","opportunistic"
"american ermine","study area",2015,"yes","opportunistic"
"american ermine","study area",2016,"yes","opportunistic"
"american ermine","study area",2017,"yes","opportunistic"
"american ermine","study area",2018,"yes","opportunistic"
"american ermine","study area",2019,"yes","opportunistic"
"american ermine","study area",2021,"no","opportunistic"
"american ermine","study area",2022,"no","opportunistic"
"american ermine","study area",2023,"no","opportunistic"
"american ermine","trapping grids",1993,"no","opportunistic"
"american ermine","trapping grids",1994,"no","opportunistic"
"american ermine","trapping grids",1995,"no","opportunistic"
"american ermine","trapping grids",1996,"no","opportunistic"
"american ermine","trapping grids",1997,"no","opportunistic"
"american ermine","trapping grids",1998,"no","opportunistic"
"american ermine","trapping grids",1999,"no","opportunistic"
"american ermine","trapping grids",2000,"no","opportunistic"
"american ermine","trapping grids",2001,"no","opportunistic"
"american ermine","trapping grids",2002,"no","opportunistic"
"american ermine","trapping grids",2003,"no","opportunistic"
"american ermine","trapping grids",2004,"no","opportunistic"
"american ermine","trapping grids",2005,"no","opportunistic"
"american ermine","trapping grids",2006,"no","opportunistic"
"american ermine","trapping grids",2007,"no","opportunistic"
"american ermine","trapping grids",2008,"no","opportunistic"
"american ermine","trapping grids",2009,"no","opportunistic"
"american ermine","trapping grids",2010,"no","opportunistic"
"american ermine","trapping grids",2011,"no","opportunistic"
"american ermine","trapping grids",2012,"no","opportunistic"
"american ermine","trapping grids",2013,"no","opportunistic"
"american ermine","trapping grids",2014,"no","opportunistic"
"american ermine","trapping grids",2015,"no","opportunistic"
"american ermine","trapping grids",2016,"no","opportunistic"
"american ermine","trapping grids",2017,"no","opportunistic"
"american ermine","trapping grids",2018,"no","opportunistic"
"american ermine","trapping grids",2019,"no","opportunistic"
"american ermine","trapping grids",2021,"no","opportunistic"
"american ermine","trapping grids",2022,"no","opportunistic"
"american ermine","trapping grids",2023,"no","opportunistic"
"arctic fox","2x1km plot",1993,"no","systematic"
"arctic fox","2x1km plot",1994,"no","systematic"
"arctic fox","2x1km plot",1995,"no","systematic"
"arctic fox","2x1km plot",1996,"no","systematic"
"arctic fox","2x1km plot",1997,"no","systematic"
"arctic fox","2x1km plot",1998,"no","systematic"
"arctic fox","2x1km plot",1999,"no","systematic"
"arctic fox","2x1km plot",2000,"no","systematic"
"arctic fox","2x1km plot",2001,"no","systematic"
"arctic fox","2x1km plot",2002,"no","systematic"
"arctic fox","2x1km plot",2003,"no","systematic"
"arctic fox","2x1km plot",2004,"no","systematic"
"arctic fox","2x1km plot",2005,"no","systematic"
"arctic fox","2x1km plot",2006,"no","systematic"
"arctic fox","2x1km plot",2007,"no","systematic"
"arctic fox","2x1km plot",2008,"yes","systematic"
"arctic fox","2x1km plot",2009,"yes","systematic"
"arctic fox","2x1km plot",2010,"yes","systematic"
"arctic fox","2x1km plot",2011,"yes","systematic"
"arctic fox","2x1km plot",2012,"yes","systematic"
"arctic fox","2x1km plot",2013,"yes","systematic"
"arctic fox","2x1km plot",2014,"yes","systematic"
"arctic fox","2x1km plot",2015,"yes","systematic"
"arctic fox","2x1km plot",2016,"yes","systematic"
"arctic fox","2x1km plot",2017,"no","systematic"
"arctic fox","2x1km plot",2018,"no","systematic"
"arctic fox","2x1km plot",2019,"no","systematic"
"arctic fox","2x1km plot",2021,"no","systematic"
"arctic fox","2x1km plot",2022,"no","systematic"
"arctic fox","2x1km plot",2023,"no","systematic"
"arctic fox","4x2km plot",1993,"no","systematic"
"arctic fox","4x2km plot",1994,"no","systematic"
"arctic fox","4x2km plot",1995,"no","systematic"
"arctic fox","4x2km plot",1996,"no","systematic"
"arctic fox","4x2km plot",1997,"no","systematic"
"arctic fox","4x2km plot",1998,"no","systematic"
"arctic fox","4x2km plot",1999,"no","systematic"
"arctic fox","4x2km plot",2000,"no","systematic"
"arctic fox","4x2km plot",2001,"no","systematic"
"arctic fox","4x2km plot",2002,"no","systematic"
"arctic fox","4x2km plot",2003,"no","systematic"
"arctic fox","4x2km plot",2004,"no","systematic"
"arctic fox","4x2km plot",2005,"no","systematic"
"arctic fox","4x2km plot",2006,"no","systematic"
"arctic fox","4x2km plot",2007,"no","systematic"
"arctic fox","4x2km plot",2008,"yes","systematic"
"arctic fox","4x2km plot",2009,"yes","systematic"
"arctic fox","4x2km plot",2010,"yes","systematic"
"arctic fox","4x2km plot",2011,"yes","systematic"
"arctic fox","4x2km plot",2012,"yes","systematic"
"arctic fox","4x2km plot",2013,"yes","systematic"
"arctic fox","4x2km plot",2014,"yes","systematic"
"arctic fox","4x2km plot",2015,"yes","systematic"
"arctic fox","4x2km plot",2016,"yes","systematic"
"arctic fox","4x2km plot",2017,"no","systematic"
"arctic fox","4x2km plot",2018,"no","systematic"
"arctic fox","4x2km plot",2019,"no","systematic"
"arctic fox","4x2km plot",2021,"no","systematic"
"arctic fox","4x2km plot",2022,"no","systematic"
"arctic fox","4x2km plot",2023,"no","systematic"
"arctic fox","black plateau",1993,"no","systematic"
"arctic fox","black plateau",1994,"no","systematic"
"arctic fox","black plateau",1995,"no","systematic"
"arctic fox","black plateau",1996,"no","systematic"
"arctic fox","black plateau",1997,"no","systematic"
"arctic fox","black plateau",1998,"no","systematic"
"arctic fox","black plateau",1999,"no","systematic"
"arctic fox","black plateau",2000,"no","systematic"
"arctic fox","black plateau",2001,"no","systematic"
"arctic fox","black plateau",2002,"no","systematic"
"arctic fox","black plateau",2003,"no","systematic"
"arctic fox","black plateau",2004,"no","systematic"
"arctic fox","black plateau",2005,"no","systematic"
"arctic fox","black plateau",2006,"no","systematic"
"arctic fox","black plateau",2007,"no","systematic"
"arctic fox","black plateau",2008,"yes","systematic"
"arctic fox","black plateau",2009,"yes","systematic"
"arctic fox","black plateau",2010,"yes","systematic"
"arctic fox","black plateau",2011,"yes","systematic"
"arctic fox","black plateau",2012,"yes","systematic"
"arctic fox","black plateau",2013,"yes","systematic"
"arctic fox","black plateau",2014,"yes","systematic"
"arctic fox","black plateau",2015,"yes","systematic"
"arctic fox","black plateau",2016,"yes","systematic"
"arctic fox","black plateau",2017,"no","systematic"
"arctic fox","black plateau",2018,"no","systematic"
"arctic fox","black plateau",2019,"no","systematic"
"arctic fox","black plateau",2021,"no","systematic"
"arctic fox","black plateau",2022,"no","systematic"
"arctic fox","black plateau",2023,"no","systematic"
"arctic fox","camp 1",1993,"no","systematic"
"arctic fox","camp 1",1994,"no","systematic"
"arctic fox","camp 1",1995,"no","systematic"
"arctic fox","camp 1",1996,"no","systematic"
"arctic fox","camp 1",1997,"no","systematic"
"arctic fox","camp 1",1998,"no","systematic"
"arctic fox","camp 1",1999,"no","systematic"
"arctic fox","camp 1",2000,"no","systematic"
"arctic fox","camp 1",2001,"no","systematic"
"arctic fox","camp 1",2002,"no","systematic"
"arctic fox","camp 1",2003,"no","systematic"
"arctic fox","camp 1",2004,"no","systematic"
"arctic fox","camp 1",2005,"no","systematic"
"arctic fox","camp 1",2006,"no","systematic"
"arctic fox","camp 1",2007,"no","systematic"
"arctic fox","camp 1",2008,"yes","systematic"
"arctic fox","camp 1",2009,"yes","systematic"
"arctic fox","camp 1",2010,"yes","systematic"
"arctic fox","camp 1",2011,"yes","systematic"
"arctic fox","camp 1",2012,"yes","systematic"
"arctic fox","camp 1",2013,"yes","systematic"
"arctic fox","camp 1",2014,"yes","systematic"
"arctic fox","camp 1",2015,"yes","systematic"
"arctic fox","camp 1",2016,"yes","systematic"
"arctic fox","camp 1",2017,"no","systematic"
"arctic fox","camp 1",2018,"no","systematic"
"arctic fox","camp 1",2019,"no","systematic"
"arctic fox","camp 1",2021,"no","systematic"
"arctic fox","camp 1",2022,"no","systematic"
"arctic fox","camp 1",2023,"no","systematic"
"arctic fox","camp 2",1993,"no","systematic"
"arctic fox","camp 2",1994,"no","systematic"
"arctic fox","camp 2",1995,"no","systematic"
"arctic fox","camp 2",1996,"no","systematic"
"arctic fox","camp 2",1997,"no","systematic"
"arctic fox","camp 2",1998,"no","systematic"
"arctic fox","camp 2",1999,"no","systematic"
"arctic fox","camp 2",2000,"no","systematic"
"arctic fox","camp 2",2001,"no","systematic"
"arctic fox","camp 2",2002,"no","systematic"
"arctic fox","camp 2",2003,"no","systematic"
"arctic fox","camp 2",2004,"no","systematic"
"arctic fox","camp 2",2005,"no","systematic"
"arctic fox","camp 2",2006,"no","systematic"
"arctic fox","camp 2",2007,"no","systematic"
